,item1,item2,correlation,class
138,離職,創新,-0.022267209329157763,招募資訊
139,轉職,創新,-0.00644044173456257,招募資訊
140,新鮮人,創新,-0.01715828441642065,招募資訊
141,畢業,創新,-0.014794910884432416,招募資訊
142,出路,創新,-0.018676362298396927,招募資訊
143,能力,創新,0.11829000529748196,招募資訊
144,招募人員,創新,-0.021990500534978405,招募人員
145,正向,創新,0.1288813764973683,情緒
146,負向,創新,0.04447731701659675,情緒
147,成就感,薪資,0.08171096881300523,成長價值
148,學習成長,薪資,-0.040755365903387096,成長價值
149,創新,薪資,-0.028548773450536243,成長價值
150,薪資,薪資,1.0,經濟報酬
151,福利,薪資,0.584062874586953,經濟報酬
152,管理制度,薪資,0.19319193456846953,經濟報酬
153,工作氛圍,薪資,0.05811958160502724,人際價值
154,同事互動,薪資,-0.052761519558955465,人際價值
155,主管風格,薪資,0.002311171810322308,人際價值
156,工作地點,薪資,0.1330416950083803,組織安全與安定
157,公司規模,薪資,0.015995737138075446,組織安全與安定
158,工作環境,薪資,0.1812378943780177,組織安全與安定
159,產業前景,薪資,-0.03267730848607346,組織安全與安定
160,輪調,薪資,0.06712977416595932,變化性
161,外派,薪資,0.08741307715609842,變化性
162,出差,薪資,0.047166627885347034,變化性
163,馬力,薪資,0.17002839404020043,產品與服務
164,外觀,薪資,0.0879392386009447,產品與服務
165,安全,薪資,0.06914520077162103,產品與服務
166,配備,薪資,0.07762094492688798,產品與服務
167,價錢,薪資,0.130404287821367,產品與服務
168,科技,薪資,0.005540461600488187,產品與服務
169,品質,薪資,0.09280543279295572,產品與服務
170,折舊,薪資,-0.01744941498191432,產品與服務
171,空間,薪資,0.10360826054487952,產品與服務
172,保養,薪資,-0.005182676902544123,產品與服務
173,尺寸,薪資,0.056616306105379904,產品與服務
174,車種,薪資,-0.017449414981914366,產品與服務
175,變速箱,薪資,0.02637241127948401,產品與服務
176,電資,薪資,0.04762366418905222,科系專業
177,機械,薪資,0.11205746739952538,科系專業
178,製造,薪資,-0.015702902292483667,科系專業
179,品管,薪資,0.1180329858645955,科系專業
180,多元性,薪資,0.10636806175357762,公司文化與價值
181,企業社會責任,薪資,-0.017449414981914352,公司文化與價值
182,企業永續目標,薪資,-0.01744941498191411,公司文化與價值
183,面試,薪資,0.057435423390084124,招募資訊
184,徵才,薪資,0.014418321662932982,招募資訊
185,實習,薪資,-0.07121731557069988,招募資訊
186,工作,薪資,0.16198199402387783,招募資訊
187,離職,薪資,0.15231015078781593,招募資訊
188,轉職,薪資,-0.030292040802231832,招募資訊
189,新鮮人,薪資,0.023903072831147145,招募資訊
190,畢業,薪資,0.13138412847935038,招募資訊
191,出路,薪資,0.01300526763053024,招募資訊
192,能力,薪資,-0.002978211198334689,招募資訊
193,招募人員,薪資,0.01620270387386632,招募人員
194,正向,薪資,0.13367664102976928,情緒
195,負向,薪資,0.17084455528089082,情緒
196,成就感,福利,-0.046300610308000284,成長價值
197,學習成長,福利,0.022032015632363722,成長價值
198,創新,福利,-0.02914392564810911,成長價值
199,薪資,福利,0.5840628745869532,經濟報酬
200,福利,福利,1.0,經濟報酬
201,管理制度,福利,0.22452194090331273,經濟報酬
202,工作氛圍,福利,0.07426942710808446,人際價值
203,同事互動,福利,-0.050446612334164864,人際價值
204,主管風格,福利,-0.03381881284133373,人際價值
205,工作地點,福利,0.0834201870708618,組織安全與安定
206,公司規模,福利,0.020370830893435804,組織安全與安定
207,工作環境,福利,0.29519964459535647,組織安全與安定
208,產業前景,福利,-0.021326978675502834,組織安全與安定
209,輪調,福利,-0.02374625386338622,變化性
210,外派,福利,0.06216790619962323,變化性
211,出差,福利,0.07192318806481417,變化性
212,馬力,福利,0.15719298334823856,產品與服務
213,外觀,福利,0.09749790930804102,產品與服務
214,安全,福利,0.023892300086149308,產品與服務
215,配備,福利,0.1357442785732664,產品與服務
216,價錢,福利,0.07087760472113844,產品與服務
217,科技,福利,-0.007462139840827502,產品與服務
218,品質,福利,0.10095648878725688,產品與服務
219,折舊,福利,-0.017813180440729527,產品與服務
220,空間,福利,0.004207669506586292,產品與服務
221,保養,福利,0.0604259630650823,產品與服務
222,尺寸,福利,0.01640092164297117,產品與服務
223,車種,福利,-0.017813180440729597,產品與服務
224,變速箱,福利,0.11793553946965675,產品與服務
225,電資,福利,-0.0005514984435368305,科系專業
226,機械,福利,0.03742108843009522,科系專業
227,製造,福利,0.04436115423449786,科系專業
228,品管,福利,0.14003071649651025,科系專業
229,多元性,福利,0.039928594297031515,公司文化與價值
230,企業社會責任,福利,-0.017813180440729565,公司文化與價值
231,企業永續目標,福利,-0.01781318044072936,公司文化與價值
232,面試,福利,-0.006595081265943912,招募資訊
233,徵才,福利,0.0009973568887188655,招募資訊
234,實習,福利,-0.02587235779919381,招募資訊
235,工作,福利,0.14100696310378977,招募資訊
236,離職,福利,0.04122433833179719,招募資訊
237,轉職,福利,-0.03092353464499319,招募資訊
238,新鮮人,福利,0.008751671662429019,招募資訊
239,畢業,福利,-0.016901954176789507,招募資訊
240,出路,福利,0.017713896317784056,招募資訊
241,能力,福利,-0.0026449193156696037,招募資訊
242,招募人員,福利,-0.005323546679456332,招募人員
243,正向,福利,0.22260224512752763,情緒
244,負向,福利,0.15806486134781034,情緒
245,成就感,管理制度,-0.031027756012287185,成長價值
246,學習成長,管理制度,0.048897656230496654,成長價值
247,創新,管理制度,0.030081344824219428,成長價值
248,薪資,管理制度,0.19319193456846953,經濟報酬
249,福利,管理制度,0.22452194090331273,經濟報酬
250,管理制度,管理制度,0.9999999999999999,經濟報酬
251,工作氛圍,管理制度,0.11491051870619141,人際價值
252,同事互動,管理制度,0.07107871227384009,人際價值
253,主管風格,管理制度,0.06533831216878216,人際價值
254,工作地點,管理制度,0.05911151943624058,組織安全與安定
255,公司規模,管理制度,0.11191564682521951,組織安全與安定
256,工作環境,管理制度,0.10714837993149107,組織安全與安定
257,產業前景,管理制度,-0.047352316572232135,組織安全與安定
258,輪調,管理制度,0.23011993462483138,變化性
259,外派,管理制度,-0.007706730134622688,變化性
260,出差,管理制度,0.017721012392398268,變化性
261,馬力,管理制度,0.26874232109650825,產品與服務
262,外觀,管理制度,0.006279830963890137,產品與服務
263,安全,管理制度,0.006832240300301631,產品與服務
264,配備,管理制度,-0.0361658878743705,產品與服務
265,價錢,管理制度,0.047497711399342,產品與服務
266,科技,管理制度,-0.03723405588869854,產品與服務
267,品質,管理制度,0.16948558891871993,產品與服務
268,折舊,管理制度,0.15484152144972818,產品與服務
269,空間,管理制度,0.10090925861571882,產品與服務
270,保養,管理制度,0.07793762433288398,產品與服務
271,尺寸,管理制度,-0.009352361532251547,產品與服務
272,車種,管理制度,-0.02709898137910633,產品與服務
273,變速箱,管理制度,0.003224435759032931,產品與服務
274,電資,管理制度,0.026856114633459993,科系專業
275,機械,管理制度,0.025077259107373035,科系專業
276,製造,管理制度,0.09206621521512273,科系專業
277,品管,管理制度,0.1345721368593409,科系專業
278,多元性,管理制度,0.15402378533015323,公司文化與價值
279,企業社會責任,管理制度,0.033547852897171916,公司文化與價值
280,企業永續目標,管理制度,0.033547852897172104,公司文化與價值
281,面試,管理制度,0.10671244616873056,招募資訊
282,徵才,管理制度,-4.520348661617011e-05,招募資訊
283,實習,管理制度,0.06468621481615623,招募資訊
284,工作,管理制度,0.26321361567813106,招募資訊
285,離職,管理制度,0.027625957908938657,招募資訊
286,轉職,管理制度,0.005597593941002356,招募資訊
287,新鮮人,管理制度,-0.048423145135543445,招募資訊
288,畢業,管理制度,0.07936846108819506,招募資訊
289,出路,管理制度,0.024955194114382306,招募資訊
290,能力,管理制度,0.025429856259037428,招募資訊
291,招募人員,管理制度,0.10416322327411273,招募人員
292,正向,管理制度,0.10857470144126052,情緒
293,負向,管理制度,0.2702167521137583,情緒
294,成就感,工作氛圍,-0.026186373209423373,成長價值
295,學習成長,工作氛圍,0.00859988072071338,成長價值
296,創新,工作氛圍,-0.03466142630751148,成長價值
297,薪資,工作氛圍,0.05811958160502723,經濟報酬
298,福利,工作氛圍,0.07426942710808444,經濟報酬
299,管理制度,工作氛圍,0.11491051870619141,經濟報酬
300,工作氛圍,工作氛圍,0.9999999999999999,人際價值
301,同事互動,工作氛圍,0.23889746904482373,人際價值
302,主管風格,工作氛圍,-0.014182111778058434,人際價值
303,工作地點,工作氛圍,0.023087563901365002,組織安全與安定
304,公司規模,工作氛圍,0.03714647636522103,組織安全與安定
305,工作環境,工作氛圍,0.1407320794830686,組織安全與安定
306,產業前景,工作氛圍,0.0997571606443497,組織安全與安定
307,輪調,工作氛圍,0.03306464862254848,變化性
308,外派,工作氛圍,-0.04512075182974274,變化性
309,出差,工作氛圍,0.041912742723974626,變化性
310,馬力,工作氛圍,0.30580599206282355,產品與服務
311,外觀,工作氛圍,-0.0412604605963567,產品與服務
312,安全,工作氛圍,-0.0035106853491588524,產品與服務
313,配備,工作氛圍,0.0505360680815139,產品與服務
314,價錢,工作氛圍,-0.029994926429868216,產品與服務
315,科技,工作氛圍,0.06664408320400342,產品與服務
316,品質,工作氛圍,0.010504755357058257,產品與服務
317,折舊,工作氛圍,-0.021185555048546065,產品與服務
318,空間,工作氛圍,-0.004413734335220585,產品與服務
319,保養,工作氛圍,0.05149321545558049,產品與服務
320,尺寸,工作氛圍,0.1012536784403776,產品與服務
321,車種,工作氛圍,-0.021185555048546006,產品與服務
322,變速箱,工作氛圍,0.047164921823405606,產品與服務
323,電資,工作氛圍,0.10541560412573066,科系專業
324,機械,工作氛圍,0.3077492806971981,科系專業
325,製造,工作氛圍,0.004376930369224583,科系專業
326,品管,工作氛圍,-0.028843565556667974,科系專業
327,多元性,工作氛圍,0.08153426901419197,公司文化與價值
328,企業社會責任,工作氛圍,-0.02118555504854603,公司文化與價值
329,企業永續目標,工作氛圍,-0.02118555504854623,公司文化與價值
330,面試,工作氛圍,0.21807833459446502,招募資訊
331,徵才,工作氛圍,0.08701481742527159,招募資訊
332,實習,工作氛圍,0.01719075659111463,招募資訊
333,工作,工作氛圍,0.2704936916471615,招募資訊
334,離職,工作氛圍,-0.00594858278076832,招募資訊
335,轉職,工作氛圍,-0.036777949209967215,招募資訊
336,新鮮人,工作氛圍,0.01418856814361004,招募資訊
337,畢業,工作氛圍,0.17446028876506958,招募資訊
338,出路,工作氛圍,-0.028002787310696515,招募資訊
339,能力,工作氛圍,0.1762093212624754,招募資訊
340,招募人員,工作氛圍,0.09041513411717607,招募人員
341,正向,工作氛圍,0.25827608049912504,情緒
342,負向,工作氛圍,0.3035271180278605,情緒
343,成就感,同事互動,-0.007491654081081741,成長價值
344,學習成長,同事互動,0.17500788372328324,成長價值
345,創新,同事互動,0.10840680704167016,成長價值
346,薪資,同事互動,-0.05276151955895547,經濟報酬
347,福利,同事互動,-0.05044661233416487,經濟報酬
348,管理制度,同事互動,0.07107871227384009,經濟報酬
349,工作氛圍,同事互動,0.23889746904482373,人際價值
350,同事互動,同事互動,1.0,人際價值
351,主管風格,同事互動,0.04030075341416847,人際價值
352,工作地點,同事互動,-0.02686233416651268,組織安全與安定
353,公司規模,同事互動,-0.05309108443788606,組織安全與安定
354,工作環境,同事互動,0.06006680764017202,組織安全與安定
355,產業前景,同事互動,0.24037963499315237,組織安全與安定
356,輪調,同事互動,0.027471340057911228,變化性
357,外派,同事互動,-0.045968862322973564,變化性
358,出差,同事互動,-0.021147659679684107,變化性
359,馬力,同事互動,0.3616816446828375,產品與服務
360,外觀,同事互動,0.01330262070084152,產品與服務
361,安全,同事互動,0.03126275496011295,產品與服務
362,配備,同事互動,0.01736243765087757,產品與服務
363,價錢,同事互動,-0.023985996739322443,產品與服務
364,科技,同事互動,-0.0463075973409337,產品與服務
365,品質,同事互動,-0.02244374681859912,產品與服務
366,折舊,同事互動,0.09399350944232981,產品與服務
367,空間,同事互動,-0.04513084886669352,產品與服務
368,保養,同事互動,0.04251068405157595,產品與服務
369,尺寸,同事互動,0.14224652339519775,產品與服務
370,車種,同事互動,0.038526044591182564,產品與服務
371,變速箱,同事互動,-0.01694142025996606,產品與服務
372,電資,同事互動,0.19889464456958555,科系專業
373,機械,同事互動,0.21814311149377863,科系專業
374,製造,同事互動,0.041449345238400444,科系專業
375,品管,同事互動,0.030775867418636207,科系專業
376,多元性,同事互動,-0.019524084879753087,公司文化與價值
377,企業社會責任,同事互動,0.14946097429348007,公司文化與價值
378,企業永續目標,同事互動,0.14946097429347951,公司文化與價值
379,面試,同事互動,0.2729135121355272,招募資訊
380,徵才,同事互動,0.020955001004520014,招募資訊
381,實習,同事互動,0.2824329655999477,招募資訊
382,工作,同事互動,0.22106215920383995,招募資訊
383,離職,同事互動,-0.026019848116518814,招募資訊
384,轉職,同事互動,0.13107493800719558,招募資訊
385,新鮮人,同事互動,-0.02870135347413359,招募資訊
386,畢業,同事互動,0.06515854706764933,招募資訊
387,出路,同事互動,0.018428841791484036,招募資訊
388,能力,同事互動,0.521687594090297,招募資訊
389,招募人員,同事互動,0.09871566943811558,招募人員
390,正向,同事互動,0.2414736943983533,情緒
391,負向,同事互動,0.36123348157479584,情緒
392,成就感,主管風格,-0.04346029520041138,成長價值
393,學習成長,主管風格,0.1954306729872771,成長價值
394,創新,主管風格,-0.05974172152502592,成長價值
395,薪資,主管風格,0.0023111718103223074,經濟報酬
396,福利,主管風格,-0.03381881284133372,經濟報酬
397,管理制度,主管風格,0.06533831216878216,經濟報酬
398,工作氛圍,主管風格,-0.014182111778058434,人際價值
399,同事互動,主管風格,0.04030075341416847,人際價值
400,主管風格,主管風格,0.9999999999999998,人際價值
401,工作地點,主管風格,0.13136566971046842,組織安全與安定
402,公司規模,主管風格,0.06963036326019349,組織安全與安定
403,工作環境,主管風格,0.011297193380455619,組織安全與安定
404,產業前景,主管風格,0.028465393575846147,組織安全與安定
405,輪調,主管風格,-0.01770423610782705,變化性
406,外派,主管風格,0.008932908301981887,變化性
407,出差,主管風格,0.13025725892615334,變化性
408,馬力,主管風格,0.45884855668887164,產品與服務
409,外觀,主管風格,-0.06289141884320053,產品與服務
410,安全,主管風格,-0.004000154922275029,產品與服務
411,配備,主管風格,-0.03606673424254044,產品與服務
412,價錢,主管風格,0.07385519758390406,產品與服務
413,科技,主管風格,-0.08724123827051632,產品與服務
414,品質,主管風格,-0.008541914531861192,產品與服務
415,折舊,主管風格,-0.0424269372441138,產品與服務
416,空間,主管風格,0.0579671045181527,產品與服務
417,保養,主管風格,-0.029773329009173136,產品與服務
418,尺寸,主管風格,0.010452052376271085,產品與服務
419,車種,主管風格,-0.04242693724411407,產品與服務
420,變速箱,主管風格,-0.04242693724411394,產品與服務
421,電資,主管風格,0.0039029472873249355,科系專業
422,機械,主管風格,0.025019992952679045,科系專業
423,製造,主管風格,0.06933691840224619,科系專業
424,品管,主管風格,0.0050717617532925734,科系專業
425,多元性,主管風格,0.05960362656194312,公司文化與價值
426,企業社會責任,主管風格,0.028516466016535572,公司文化與價值
427,企業永續目標,主管風格,0.028516466016535753,公司文化與價值
428,面試,主管風格,0.3428750607831249,招募資訊
429,徵才,主管風格,0.2297931011185345,招募資訊
430,實習,主管風格,0.1715386180626226,招募資訊
431,工作,主管風格,0.1763772609730279,招募資訊
432,離職,主管風格,-0.02239076703357186,招募資訊
433,轉職,主管風格,0.11792499709890786,招募資訊
434,新鮮人,主管風格,0.008405064305123054,招募資訊
435,畢業,主管風格,0.17030389379978167,招募資訊
436,出路,主管風格,0.017706852318160434,招募資訊
437,能力,主管風格,0.15448638422721975,招募資訊
438,招募人員,主管風格,0.8345097989494561,招募人員
439,正向,主管風格,0.3216186676359394,情緒
440,負向,主管風格,0.4578135742072082,情緒
441,成就感,工作地點,-0.04263666312198763,成長價值
442,學習成長,工作地點,0.02531449529930687,成長價值
443,創新,工作地點,-0.020020272611869484,成長價值
444,薪資,工作地點,0.13304169500838028,經濟報酬
445,福利,工作地點,0.08342018707086181,經濟報酬
446,管理制度,工作地點,0.05911151943624058,經濟報酬
447,工作氛圍,工作地點,0.023087563901365002,人際價值
448,同事互動,工作地點,-0.026862334166512677,人際價值
449,主管風格,工作地點,0.1313656697104684,人際價值
450,工作地點,工作地點,0.9999999999999999,組織安全與安定
451,公司規模,工作地點,0.014623983574376205,組織安全與安定
452,工作環境,工作地點,0.08454789584378825,組織安全與安定
453,產業前景,工作地點,-0.034892159184535775,組織安全與安定
454,輪調,工作地點,-0.03114789843902283,變化性
455,外派,工作地點,0.043532824024216654,變化性
456,出差,工作地點,0.14895220180778695,變化性
457,馬力,工作地點,0.20579437161677647,產品與服務
458,外觀,工作地點,0.06468643094625526,產品與服務
459,安全,工作地點,-0.025928226249406893,產品與服務
460,配備,工作地點,-0.04050249468503809,產品與服務
461,價錢,工作地點,0.05774974931992283,產品與服務
462,科技,工作地點,-0.0012388024966354812,產品與服務
463,品質,工作地點,0.03443961014495571,產品與服務
464,折舊,工作地點,-0.01223667438675907,產品與服務
465,空間,工作地點,0.048120428852197736,產品與服務
466,保養,工作地點,-0.013431185484057853,產品與服務
467,尺寸,工作地點,0.059106822457907306,產品與服務
468,車種,工作地點,-0.012236674386759112,產品與服務
469,變速箱,工作地點,-0.012236674386758994,產品與服務
470,電資,工作地點,0.04394649234564544,科系專業
471,機械,工作地點,-0.02839926119262117,科系專業
472,製造,工作地點,-0.049825625399560494,科系專業
473,品管,工作地點,0.014088931422936376,科系專業
474,多元性,工作地點,-0.02468312605120909,公司文化與價值
475,企業社會責任,工作地點,-0.012236674386759098,公司文化與價值
476,企業永續目標,工作地點,-0.012236674386759093,公司文化與價值
477,面試,工作地點,0.13230974445620133,招募資訊
478,徵才,工作地點,0.04031340402737069,招募資訊
479,實習,工作地點,0.002774091989682986,招募資訊
480,工作,工作地點,0.12191948598234707,招募資訊
481,離職,工作地點,0.12908484442651663,招募資訊
482,轉職,工作地點,-0.021242766029205905,招募資訊
483,新鮮人,工作地點,-0.05659385432594865,招募資訊
484,畢業,工作地點,0.035785673056117774,招募資訊
485,出路,工作地點,-0.04634741242276791,招募資訊
486,能力,工作地點,0.050390522844500026,招募資訊
487,招募人員,工作地點,0.14163217077911147,招募人員
488,正向,工作地點,0.0947324527479053,情緒
489,負向,工作地點,0.20674768829081355,情緒
490,成就感,公司規模,-0.02832727224142591,成長價值
491,學習成長,公司規模,0.07370520744081464,成長價值
492,創新,公司規模,-0.013301221791241206,成長價值
493,薪資,公司規模,0.015995737138075446,經濟報酬
494,福利,公司規模,0.020370830893435807,經濟報酬
495,管理制度,公司規模,0.1119156468252195,經濟報酬
496,工作氛圍,公司規模,0.037146476365221025,人際價值
497,同事互動,公司規模,-0.053091084437886064,人際價值
498,主管風格,公司規模,0.06963036326019348,人際價值
499,工作地點,公司規模,0.014623983574376205,組織安全與安定
500,公司規模,公司規模,0.9999999999999999,組織安全與安定
501,工作環境,公司規模,0.0160229975126838,組織安全與安定
502,產業前景,公司規模,0.05181840829773401,組織安全與安定
503,輪調,公司規模,-0.02069427891920269,變化性
504,外派,公司規模,0.027942240966041067,變化性
505,出差,公司規模,-0.019066073917262987,變化性
506,馬力,公司規模,0.12085694145337049,產品與服務
507,外觀,公司規模,-0.015833582055507438,產品與服務
508,安全,公司規模,-0.017226393200678747,產品與服務
509,配備,公司規模,-0.026909357097608274,產品與服務
510,價錢,公司規模,0.08632849500682173,產品與服務
511,科技,公司規模,0.14567897818602654,產品與服務
512,品質,公司規模,-0.004680255990793925,產品與服務
513,折舊,公司規模,-0.008129895289686669,產品與服務
514,空間,公司規模,-0.021657515721272273,產品與服務
515,保養,公司規模,-0.023424223477316285,產品與服務
516,尺寸,公司規模,-0.017453263391340564,產品與服務
517,車種,公司規模,-0.008129895289686802,產品與服務
518,變速箱,公司規模,-0.008129895289686743,產品與服務
519,電資,公司規模,-0.04197141573158723,科系專業
520,機械,公司規模,-0.018868118289582788,科系專業
521,製造,公司規模,-0.04989751589939458,科系專業
522,品管,公司規模,-0.0046802559907939256,科系專業
523,多元性,公司規模,0.29359793632714215,公司文化與價值
524,企業社會責任,公司規模,-0.008129895289686637,公司文化與價值
525,企業永續目標,公司規模,-0.008129895289686733,公司文化與價值
526,面試,公司規模,0.19104855348893154,招募資訊
527,徵才,公司規模,0.07346393856190689,招募資訊
528,實習,公司規模,0.10480380139451106,招募資訊
529,工作,公司規模,0.006943011452860475,招募資訊
530,離職,公司規模,0.026615909765871738,招募資訊
531,轉職,公司規模,-0.014113431314935957,招募資訊
532,新鮮人,公司規模,0.003638734611199263,招募資訊
533,畢業,公司規模,0.24315912694793257,招募資訊
534,出路,公司規模,0.018709457154813522,招募資訊
535,能力,公司規模,-0.010001977349152447,招募資訊
536,招募人員,公司規模,0.14821679792724962,招募人員
537,正向,公司規模,0.06037506606380103,情緒
538,負向,公司規模,0.12108292801175996,情緒
