,item1,item2,value,class
384,企業社會責任,工作氛圍,0,公司文化與價值
385,企業永續目標,工作氛圍,0,公司文化與價值
386,面試,工作氛圍,1,招募資訊
387,徵才,工作氛圍,0,招募資訊
388,實習,工作氛圍,0,招募資訊
389,工作,工作氛圍,17,招募資訊
390,離職,工作氛圍,2,招募資訊
391,轉職,工作氛圍,0,招募資訊
392,新鮮人,工作氛圍,0,招募資訊
393,畢業,工作氛圍,0,招募資訊
394,出路,工作氛圍,0,招募資訊
395,能力,工作氛圍,8,招募資訊
396,招募人員,工作氛圍,5,招募人員
397,正向,工作氛圍,40,情緒
398,負向,工作氛圍,33,情緒
399,成就感,同事互動,0,成長價值
400,學習成長,同事互動,5,成長價值
401,創新,同事互動,0,成長價值
402,薪資,同事互動,6,經濟報酬
403,福利,同事互動,2,經濟報酬
404,管理制度,同事互動,10,經濟報酬
405,工作氛圍,同事互動,8,人際價值
406,同事互動,同事互動,36,人際價值
407,主管風格,同事互動,10,人際價值
408,工作地點,同事互動,3,組織安全與安定
409,公司規模,同事互動,9,組織安全與安定
410,工作環境,同事互動,2,組織安全與安定
411,產業前景,同事互動,1,組織安全與安定
412,輪調,同事互動,1,變化性
413,外派,同事互動,1,變化性
414,出差,同事互動,0,變化性
415,引擎,同事互動,0,產品與服務
416,馬力,同事互動,0,產品與服務
417,避震,同事互動,0,產品與服務
418,外觀,同事互動,0,產品與服務
419,操控,同事互動,0,產品與服務
420,安全,同事互動,0,產品與服務
421,堅固,同事互動,0,產品與服務
422,配備,同事互動,1,產品與服務
423,價錢,同事互動,0,產品與服務
424,科技,同事互動,0,產品與服務
425,品質,同事互動,2,產品與服務
426,折舊,同事互動,0,產品與服務
427,品牌,同事互動,0,產品與服務
428,空間,同事互動,1,產品與服務
429,保養,同事互動,5,產品與服務
430,續航,同事互動,0,產品與服務
431,尺寸,同事互動,0,產品與服務
432,車種,同事互動,0,產品與服務
433,驅動,同事互動,0,產品與服務
434,變速箱,同事互動,0,產品與服務
435,電資,同事互動,2,科系專業
436,機械,同事互動,0,科系專業
437,製造,同事互動,2,科系專業
438,車輛工程,同事互動,0,科系專業
439,品管,同事互動,2,科系專業
440,多元性,同事互動,1,公司文化與價值
441,企業社會責任,同事互動,0,公司文化與價值
442,企業永續目標,同事互動,0,公司文化與價值
443,面試,同事互動,9,招募資訊
444,徵才,同事互動,1,招募資訊
445,實習,同事互動,4,招募資訊
446,工作,同事互動,20,招募資訊
447,離職,同事互動,2,招募資訊
448,轉職,同事互動,0,招募資訊
449,新鮮人,同事互動,0,招募資訊
450,畢業,同事互動,0,招募資訊
451,出路,同事互動,0,招募資訊
452,能力,同事互動,16,招募資訊
453,招募人員,同事互動,10,招募人員
454,正向,同事互動,34,情緒
455,負向,同事互動,37,情緒
456,成就感,主管風格,2,成長價值
457,學習成長,主管風格,5,成長價值
458,創新,主管風格,0,成長價值
459,薪資,主管風格,10,經濟報酬
460,福利,主管風格,11,經濟報酬
461,管理制度,主管風格,21,經濟報酬
462,工作氛圍,主管風格,5,人際價值
463,同事互動,主管風格,10,人際價值
464,主管風格,主管風格,73,人際價值
465,工作地點,主管風格,0,組織安全與安定
466,公司規模,主管風格,5,組織安全與安定
467,工作環境,主管風格,5,組織安全與安定
468,產業前景,主管風格,2,組織安全與安定
469,輪調,主管風格,0,變化性
470,外派,主管風格,3,變化性
471,出差,主管風格,1,變化性
472,引擎,主管風格,0,產品與服務
473,馬力,主管風格,0,產品與服務
474,避震,主管風格,0,產品與服務
475,外觀,主管風格,0,產品與服務
476,操控,主管風格,0,產品與服務
477,安全,主管風格,1,產品與服務
478,堅固,主管風格,0,產品與服務
479,配備,主管風格,0,產品與服務
480,價錢,主管風格,0,產品與服務
481,科技,主管風格,0,產品與服務
482,品質,主管風格,1,產品與服務
483,折舊,主管風格,0,產品與服務
484,品牌,主管風格,4,產品與服務
485,空間,主管風格,0,產品與服務
486,保養,主管風格,0,產品與服務
487,續航,主管風格,1,產品與服務
488,尺寸,主管風格,0,產品與服務
489,車種,主管風格,0,產品與服務
490,驅動,主管風格,0,產品與服務
491,變速箱,主管風格,0,產品與服務
492,電資,主管風格,0,科系專業
493,機械,主管風格,0,科系專業
494,製造,主管風格,0,科系專業
495,車輛工程,主管風格,0,科系專業
496,品管,主管風格,1,科系專業
497,多元性,主管風格,0,公司文化與價值
498,企業社會責任,主管風格,0,公司文化與價值
499,企業永續目標,主管風格,0,公司文化與價值
500,面試,主管風格,2,招募資訊
501,徵才,主管風格,1,招募資訊
502,實習,主管風格,4,招募資訊
503,工作,主管風格,14,招募資訊
504,離職,主管風格,4,招募資訊
505,轉職,主管風格,0,招募資訊
506,新鮮人,主管風格,0,招募資訊
507,畢業,主管風格,2,招募資訊
508,出路,主管風格,1,招募資訊
509,能力,主管風格,7,招募資訊
510,招募人員,主管風格,66,招募人員
511,正向,主管風格,45,情緒
512,負向,主管風格,55,情緒
513,成就感,工作地點,0,成長價值
514,學習成長,工作地點,2,成長價值
515,創新,工作地點,0,成長價值
516,薪資,工作地點,0,經濟報酬
517,福利,工作地點,0,經濟報酬
518,管理制度,工作地點,2,經濟報酬
519,工作氛圍,工作地點,0,人際價值
520,同事互動,工作地點,3,人際價值
521,主管風格,工作地點,0,人際價值
522,工作地點,工作地點,21,組織安全與安定
523,公司規模,工作地點,0,組織安全與安定
524,工作環境,工作地點,0,組織安全與安定
525,產業前景,工作地點,0,組織安全與安定
526,輪調,工作地點,1,變化性
527,外派,工作地點,0,變化性
528,出差,工作地點,0,變化性
529,引擎,工作地點,0,產品與服務
530,馬力,工作地點,0,產品與服務
531,避震,工作地點,0,產品與服務
532,外觀,工作地點,0,產品與服務
533,操控,工作地點,0,產品與服務
534,安全,工作地點,0,產品與服務
535,堅固,工作地點,0,產品與服務
536,配備,工作地點,0,產品與服務
537,價錢,工作地點,0,產品與服務
538,科技,工作地點,0,產品與服務
539,品質,工作地點,0,產品與服務
540,折舊,工作地點,0,產品與服務
541,品牌,工作地點,2,產品與服務
542,空間,工作地點,0,產品與服務
543,保養,工作地點,3,產品與服務
544,續航,工作地點,0,產品與服務
545,尺寸,工作地點,0,產品與服務
546,車種,工作地點,0,產品與服務
547,驅動,工作地點,0,產品與服務
548,變速箱,工作地點,0,產品與服務
549,電資,工作地點,0,科系專業
550,機械,工作地點,0,科系專業
551,製造,工作地點,0,科系專業
552,車輛工程,工作地點,0,科系專業
553,品管,工作地點,0,科系專業
554,多元性,工作地點,1,公司文化與價值
555,企業社會責任,工作地點,0,公司文化與價值
556,企業永續目標,工作地點,0,公司文化與價值
557,面試,工作地點,0,招募資訊
558,徵才,工作地點,0,招募資訊
559,實習,工作地點,0,招募資訊
560,工作,工作地點,5,招募資訊
561,離職,工作地點,0,招募資訊
562,轉職,工作地點,0,招募資訊
563,新鮮人,工作地點,0,招募資訊
564,畢業,工作地點,0,招募資訊
565,出路,工作地點,0,招募資訊
566,能力,工作地點,1,招募資訊
567,招募人員,工作地點,0,招募人員
